id,titulo,infos,valor,local,data_anuncio,link,DATA_COLETA_METADADOS
1039769471,Toyota Corolla ,22.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 136.000,Louveira -  SP,"Hoje, 17:27",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-1039769471,2022-06-01
1039767447,Virtus 1.6 Msi Automático 2020/2020. O Mais Novo da Região. Imperdível.,36.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 79.950,Guaratinguetá -  SP,"Hoje, 17:26",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/virtus-1-6-msi-automatico-2020-2020-o-mais-novo-da-regiao-imperdivel-1039767447,2022-06-01
1003950137,CHEVROLET CORSA HATCH MAXX 2009,201.771 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.900,Curitiba -  PR,"Hoje, 17:23",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-corsa-hatch-maxx-2009-1003950137,2022-06-01
979103439,Fiat Palio 1.8 Mpi Adventure Weekend 16v,104.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 41.900,Santos -  SP,"Hoje, 17:21",https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1-8-mpi-adventure-weekend-16v-979103439,2022-06-01
1029655122,SANDERO 2016/2017 1.0 EXPRESSION 16V FLEX 4P MANUAL,87.552 km  |  Câmbio: Manual  |  Flex  |  ,R$ 42.900,Belo Horizonte -  MG,"Hoje, 17:19",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sandero-2016-2017-1-0-expression-16v-flex-4p-manual-1029655122,2022-06-01
1013771277,colbalt em ótimo estado ,225.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 32.000,Ribeirão Pires -  SP,"Hoje, 16:53",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/colbalt-em-otimo-estado-1013771277,2022-06-01
1014560580,Fiat Idea 1.4 2014 Completa ,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 37.900,Belo Horizonte -  MG,"Hoje, 16:50",https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-1-4-2014-completa-1014560580,2022-06-01
1012442793,Mercedes A200 Baixo KM,24.700 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 144.900,Itajaí -  SC,"Hoje, 16:49",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/mercedes-a200-baixo-km-1012442793,2022-06-01
1012607751,**Apenas 13700km** Honda Civic 2.0 EX 2019,13.720 km  |  Câmbio: Automático  |  Flex  |  ,R$ 131.900,Blumenau -  SC,"Hoje, 16:49",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/apenas-13700km-honda-civic-2-0-ex-2019-1012607751,2022-06-01
905299964,Toyota Hilux 2.8 SRV 2018 4x4 Diesel,80.995 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 239.900,Blumenau -  SC,"Hoje, 16:49",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-2-8-srv-2018-4x4-diesel-905299964,2022-06-01
905296566,Jeep Wrangler 3.8 Sport 2010 Raridade,159.900 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 159.950,Blumenau -  SC,"Hoje, 16:49",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/jeep-wrangler-3-8-sport-2010-raridade-905296566,2022-06-01
930378441,Jeep Wrangler 3.8 Sport 2010 Apenas 80800km,80.950 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 159.900,Blumenau -  SC,"Hoje, 16:49",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/jeep-wrangler-3-8-sport-2010-apenas-80800km-930378441,2022-06-01
930381334,Renault Master L1H1 2014 - Completa,204.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 125.900,Blumenau -  SC,"Hoje, 16:48",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/renault-master-l1h1-2014-completa-930381334,2022-06-01
906133970,Apenas 77mil km Honda Civic 2.0 LXR 2016,77.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 86.900,Blumenau -  SC,"Hoje, 16:48",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/apenas-77mil-km-honda-civic-2-0-lxr-2016-906133970,2022-06-01
930380421,Fiat Toro 1.8 Freedom 2020 + Pacote S-Designer,13.987 km  |  Câmbio: Automático  |  Flex  |  ,R$ 132.900,Blumenau -  SC,"Hoje, 16:48",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-1-8-freedom-2020-pacote-s-designer-930380421,2022-06-01
905240990,Toyota Corolla Altis 2020 Apenas 30mil km,30.100 km  |  Câmbio: Automático  |  Flex  |  ,R$ 159.900,Blumenau -  SC,"Hoje, 16:48",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-2020-apenas-30mil-km-905240990,2022-06-01
991048992,HONDA WR-V 1.5 16V FLEXONE EXL CVT 2018,95.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 78.900,Goiânia -  GO,"Hoje, 16:48",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/honda-wr-v-1-5-16v-flexone-exl-cvt-2018-991048992,2022-06-01
